ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20200722-NJ-CHI-183,20200722-NJ-CHI-1508,36:58,37:18,Paige Monaghan,NJ,recovery,1st half,null,59.2,6.7
20200722-NJ-CHI-184,20200722-NJ-CHI-1528,37:23,37:43,McCall RaNae Zerboni,NJ,take_on,1st half,1,95.3,55.3
20200722-NJ-CHI-185,20200722-NJ-CHI-1530,37:23,37:43,Bianca St. Georges,CHI,challenge,1st half,0,9.7,12.7
20200722-NJ-CHI-186,20200722-NJ-CHI-1531,37:23,37:43,Bianca St. Georges,CHI,tackle,1st half,0,9.7,12.7
20200722-NJ-CHI-187,20200722-NJ-CHI-1533,37:24,37:44,Savannah McCaskill,CHI,foul,1st half,null,4.6,12.3
20200722-NJ-CHI-188,20200722-NJ-CHI-1546,38:15,38:35,Margaret Purce,NJ,recovery,1st half,null,89.7,36.0
20200722-NJ-CHI-189,20200722-NJ-CHI-1555,38:43,39:03,Sarah Christine Woldmoe,NJ,challenge,1st half,0,51.9,43.5
20200722-NJ-CHI-190,20200722-NJ-CHI-1557,38:43,39:03,Savannah McCaskill,CHI,challenge,1st half,1,53.1,24.5
20200722-NJ-CHI-191,20200722-NJ-CHI-1569,38:52,39:12,Sarah Gorden,CHI,recovery,1st half,null,20.1,38.8
20200722-NJ-CHI-192,20200722-NJ-CHI-1574,38:58,39:18,Sabrina Flores,NJ,recovery,1st half,null,47.9,51.1
20200722-NJ-CHI-193,20200722-NJ-CHI-1578,39:01,39:21,Nahomi Kawasumi,NJ,take_on,1st half,1,59.3,57.4
20200722-NJ-CHI-194,20200722-NJ-CHI-1579,39:01,39:21,Vanessa Sue Di Bernardo,CHI,challenge,1st half,0,45.7,10.6
20200722-NJ-CHI-195,20200722-NJ-CHI-1581,39:01,39:21,Vanessa Sue Di Bernardo,CHI,tackle,1st half,0,45.7,10.6
